label,row,adjusted
big-data,"20.453,00",20453
build-management,"1.064,00",1064
cloud,"3.738,00",3738
database,"21.945,00",21945
library,"2.570,00",2570
machine-learning,"999,00",999
network-server,"3.965,00",3965
security,"804,00",804
web-framework,"4.682,00",4682
